ds,ID,y
2020-12-03,233,196.199997
2020-12-04,234,198.199997
2020-12-07,235,203.149994
2020-12-08,236,202.449997
2020-12-09,237,205.399994
2020-12-10,238,212.699997
2020-12-11,239,216.300003
2020-12-14,240,215.899994
2020-12-15,241,213.550003
2020-12-16,242,214
2020-12-17,243,213.050003
2020-12-18,244,214.5
2020-12-21,245,202.949997
2020-12-22,246,203.399994
2020-12-23,247,207.75
2020-12-24,248,208.600006
2020-12-28,249,209.5
2020-12-29,250,211.699997
