ds,ID,y
2020-09-30,190,1740.050049
2020-10-01,191,1790.650024
2020-10-05,192,1785.099976
2020-10-06,193,1934.400024
2020-10-07,194,1948.75
2020-10-08,195,1949.25
2020-10-09,196,1957.650024
2020-10-12,197,1965.400024
2020-10-13,198,1943.400024
2020-10-14,199,1979.849976
2020-10-15,200,1947.199951
2020-10-16,201,1961.699951
2020-10-19,202,2031.5
2020-10-20,203,2015.300049
2020-10-21,204,2048.75
2020-10-22,205,2042.550049
2020-10-23,206,2059.699951
2020-10-26,207,2073.350098
2020-10-27,208,2041.349976
2020-10-28,209,1968.900024
2020-10-29,210,1934.300049
2020-10-30,211,1923.550049
2020-11-02,212,2040.800049
2020-11-03,213,2130.949951
2020-11-04,214,2088.199951
2020-11-05,215,2100.699951
2020-11-06,216,2138.449951
2020-11-09,217,2152.100098
2020-11-10,218,2272.100098
2020-11-11,219,2324.300049
2020-11-12,220,2332.100098
2020-11-13,221,2306.75
2020-11-17,222,2349
2020-11-18,223,2364.899902
2020-11-19,224,2324.600098
2020-11-20,225,2334.800049
2020-11-23,226,2250.800049
2020-11-24,227,2217.699951
2020-11-25,228,2191.350098
2020-11-26,229,2238.399902
2020-11-27,230,2256.25
2020-12-01,231,2306.949951
2020-12-02,232,2276.350098
2020-12-03,233,2253.949951
2020-12-04,234,2245.899902
2020-12-07,235,2303.800049
2020-12-08,236,2309.75
2020-12-09,237,2306.699951
2020-12-10,238,2289.100098
2020-12-11,239,2295.899902
2020-12-14,240,2302.649902
2020-12-15,241,2350.350098
2020-12-16,242,2424.649902
2020-12-17,243,2494.600098
2020-12-18,244,2479.399902
2020-12-21,245,2414.800049
2020-12-22,246,2403.649902
2020-12-23,247,2403.050049
2020-12-24,248,2455.149902
2020-12-28,249,2476.449951
2020-12-29,250,2522.449951
